PT;Armenia accuses Azerbaijan of extending conflict territory beyond breakaway enclave;"The Armenian Ministry of Foreign Affairs accused Azerbaijan on Tuesday of attacking the city of Vardenis, thus extending the armed confrontation between the two countries beyond the separatist enclave of Nagorno-Karabakh.""Ignoring the insistent requests of the international community to cease war actions, Azerbaijan extends the combat zone with military and political support from Turkey to the Armenian territories,"" the Armenian diplomacy denounced this Tuesday, in a statement released on the social network Facebook.The Armenian Government accuses the Azerbaijani Armed Forces of attacking ""military and civilian targets in the Vardenis region"" in the east of the country in an operation that killed a civilian.";E
RU;Armenia agreed armistice with Azerbaijan to save soldiers’ lives, reveals embattled PM Pashinyan;Armenia had to agree a truce with Baku, or its 25,000-man army faced being completely surrounded and routed. That’s according to Prime Minister Nikol Pashinyan, who is under increasing pressure to explain why he ended the war.In an address to the nation on Thursday, Pashinyan explained that the trilateral ceasefire agreement signed by Yerevan, Baku, and Moscow does not imply a final settlement of the Nagorno-Karabakh conflict.“When a situation arises when a soldier can no longer influence the situation, then he should not die in the name of his homeland, but the homeland should make sacrifices in the name of the soldier,” Pashinyan explained. “With this understanding, I signed the infamous document, understanding that my risk of dying is high, not only in the political, but also in the physical sense.”In the early hours of Tuesday morning, the prime minister announced that the country had agreed to end hostilities with Azerbaijan, following a bloody conflict which began in late September. After repeatedly claiming that Armenia was winning the war, he is now coming under attack for what many locals see as a surrender. As part of the settlement, Yerevan has lost control of parts of Nagorno-Karabakh, and Russian peacekeepers have been deployed along the contact line.According to Pashinyan, he knew that the peace deal would lead to public discontent, but he believes it was the correct choice to protect his soldiers.“This happened after the General Staff of the Armed Forces reported that the war should be urgently stopped, and the president of Artsakh said Stepanakert [the largest city in Nagorno-Karabakh] could be lost within hours,” Pashinyan explained.On Wednesday, over a thousand Armenian demonstrators, led by opposition leaders, took to Yerevan’s streets to protest the signing of the agreement. Protesters chanted “Nikol is a traitor,” while demanding he resign as leader of the country.;N
VA;Armenia and Azerbaijan accuse each other of violating latest ceasefire;"New clashes were reported between Azerbaijan and Armenia just hours after the US President had proudly announced on social networking site Twitter that his team managed to negotiate a ceasefire between the warring Caucasus nations.  The US-brokered truce was a third attempt to establish a lasting ceasefire in the flare-up of a decades-old conflict over the disputed territory of Nagorno-Karabakh. Two previous Russia-brokered agreements, including one last weekend, collapsed immediately after taking force, with both sides blaming each other for violations.The new ceasefire was also challenged quickly by accusations from both sides. Azerbaijani Defense Ministry alleged that Armenian forces fired at Azerbaijani settlements and the positions of the Azerbaijani army. It said attacks happened ""along the entire front, as well as on the Armenia-Azerbaijan state border"" and involved various small arms, mortars, and howitzers.Armenian denial Armenian military officials rejected the accusations and accused Azerbaijani forces of shelling the northeastern area of Nagorno-Karabakh and other regions. Local authorities in Nagorno-Karabakh also charged that Azerbaijan targeted the town of Martuni with military aviation. Azerbaijan's Defense Ministry denied it violated the ceasefire agreement. Amongst the population in Nagorno-Karabakh, there are Christian and Catholic communities including one that worships in the 19th-century Armenian Apostolic cathedral in the town of Shusha. The Holy Saviour Cathedral, also known as Ghazanchetsots, was heavily damaged in recent shelling, allegedly by Azerbaijan's forces. But priests there can still be seen ringing the bells and praying for the victims and for peace inside the damaged church. 'Prayers reaching God'""It doesn't matter if these prayers come from basements, houses, or churches - all prayers reach God,"" said Armenian priest Andreas Tavadyan. ""To be honest, there are far more dangerous places in Artsakh [the Armenian name for Nagorno-Karabakh]. There is a front line which is really dangerous. But this is our front line: we have to fight the evil, we pray. It's our [spiritual] battlefield."" He added: ""I believe this danger is not that important for us. No matter if we see that the cathedral is damaged, we know God is in all of our prayers. God will save us."" Nagorno-Karabakh lies within Azerbaijan, a mainly Muslim nation, but has been under the control of ethnic Armenian forces backed by Armenia, which is primarily Christian, since a war there ended in 1994. The latest fighting that began on September 27 has involved heavy artillery, rockets, and drones. The violence has officially killed more than 1,000 people in the largest escalation of hostilities over the separatist region in more than a quarter-century.Russian President Vladimir Putin said last week that Moscow's information suggests the death toll from the fighting was nearing 5,000, significantly higher than what both sides report.";N
UK;Armenia and Azerbaijan accuse each other of violating new Nagorno-Karabakh truce;Armenia and Azerbaijan accused each other on Sunday of violating a new humanitarian ceasefire in fighting over the mountain enclave of Nagorno-Karabakh, hours after it was agreed. The truce agreed on Saturday came into force at midnight (2000 GMT) after a week-old Russian-brokered ceasefire failed to halt the worst fighting in the South Caucasus since the 1990s. The Armenian defence ministry said the Azeri army had fired twice during the night and used artillery. The Azeri defence ministry said: “The enemy fired at the vicinity of the Jabrail city, as well as the villages of this region ... using mortars and artillery”. It added that the Azeri army “took adequate retaliatory measures”. Officials in Nagorno-Karabakh said Azeri forces had launched an attack on the enclave's military positions and there were casualties and wounded on both sides. Nagorno-Karabakh is a mountain territory that is internationally recognised as part of Azerbaijan but populated and governed by ethnic Armenians. The ceasefire earlier this month was aimed at letting the sides swap detainees and bodies of those killed in the clashes, but it had little impact on the fighting around the enclave. The new truce was announced on Saturday after Russian Foreign Minister Sergei Lavrov talked to his Armenian and Azeri counterparts by phone and called on sides to observe the truce that he mediated a week ago. Russia, France and the United States belong to the Minsk Group, which has attempted to help resolve the conflict under the umbrella of the Organisation for Security and Cooperation in Europe (OSCE). Baku said on Saturday that 60 Azeri civilians had been killed and 270 wounded since the fighting flared on 27 September. It has not disclosed its military casualties. Nagorno-Karabakh says 633 of its military personnel have been killed, and 36 civilians.;N
RO;Armenia and Azerbaijan accuse each other of violating the newly concluded peace agreement;"The Nagorno-Karabakh ceasefire agreement appears to be a hard promise to keep. Within half an hour of its entry into force, the forces of Armenia and Azerbaijan resumed bombing. As usual, the two sides accuse each other of a breach of the deal, which comes after two weeks of fighting, according to CNN.At a news conference in Baku, Hikmet Hajiev, an adviser to Azerbaijani President Ilham Alimev, accused Armenia of ""violating"" the agreed conditions.""Azerbaijan has no claims to the territory of any other state. If Armenia continues its challenges, Azerbaijan mustrespond,"" hesaid.Armenia denied violating the agreement, saying it was an ""invention"". Instead, he claimed that Azerbaijani forces had attacked the city of Hadrut.""The statement of Azerbaijan's Ministry of Defence is another invention, said aspokesman for the Armenian Ministry of Defence.The agreement was reached last night in Moscowat the end of ten hours of talks. Mediated by Russia, France and the United States, it provides, among other things, for prisoner exchanges between the two parties.The weapons will be temporarily silent to allow the exchange of prisoners of war, the movement of other persons and the recovery of the bodies of those killed, according to the criteria of the International Committee of the Red Cross, but the ""specific parameters"" of the implementation of the ceasefire agreement were to be agreed after the conclusion of the discussions sponsored by Sergei Lavrov.Armenia and Azerbaijan have also reached an agreement to start ""substantial negotiations"" for a peaceful resolution of the conflict, with the mediation of the co-chairs of the Minsk Group of the Organisation for Security and Cooperation in Europe (OSCE).The Nagorno-Karabakh region is an administrative part of Azerbaijan, but is inhabited mostly by Armenians. The two countries have faced each other several times in recent decades without reaching a compromise.The official death toll on Friday indicated more than 400 dead, including 22 Armenian civilians and 31 Azerbaijanis. But there is unreliable data, and in reality it could be much higher, with each side claiming to have eliminated thousands of enemy soldiers.";N
IR;Armenia and Azerbaijan agree to end fighting;Armenia and Azerbaijan have announced an agreement to halt fighting over the Nagorno-Karabakh region of Azerbaijan under a pact signed with Russia that calls for the deployment of Russian peacekeepers as well as territorial concessions. Nagorno-Karabakh has been under the control of ethnic Armenian forces backed by Armenia since a 1994 truce ended a separatist war in which an estimated 30,000 people died. Sporadic clashes have occurred since then, and full-scale fighting began on September 27. Several cease-fires had been called but were almost immediately violated. However, the agreement announced early on Tuesday appeared more likely to take hold because Azerbaijan has made significant advances, including taking control of the strategically key city of Shushi on Sunday. Armenian Prime Minister Nikol Pashinian said on Facebook that calling an end to the fight was “extremely painful for me personally and for our people”. Soon after the announcement, thousands of people streamed to the main square in the Armenian capital Yerevan to protest the agreement, many shouting, “We won’t give up our land”. Some of them broke into the main government building, saying they were searching for Mr Pashinian, who apparently had already departed. The agreement calls for Armenian forces to turn over control of some areas it held outside the borders of Nagorno-Karabakh, including the eastern district of Agdam. That area carries strong symbolic weight for Azerbaijan because its main city, also called Agdam, was thoroughly pillaged, and the only building remaining intact is the city’s mosque. Armenians will also turn over the Lachin region, which holds the main road leading from Nagorno-Karabakh to Armenia. The agreement calls for the road, the so-called Lachin Corridor, to remain open and be protected by Russian peacekeepers. In all, 1,960 Russian peacekeepers are to be deployed in the region under a five-year mandate.;N
FR;Armenia and Azerbaijan allege breaches as new ceasefire begins;"Armenia and Azerbaijan accused each other of violating the latest ceasefire to halt fighting over Nagorno-Karabakh shortly after it took effect on Monday.Azerbaijan's foreign ministry said Armenian forces had shelled the town of Terter and nearby villages in ""gross violation"" of the truce, which was announced by the United States on Sunday.Armenia's defence ministry said Azerbaijani forces had ""grossly violated"" the ceasefire with artillery fire on combat positions in various parts of the frontline.The latest ceasefire was due to take effect at 8 am local time (0400 GMT) on Monday, according to a joint statement by the US State Department and the governments of Azerbaijan and Armenia.""Congratulations to Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev, who just agreed to adhere to a cease fire effective at midnight. Many lives will be saved,"" US President Donald Trump wrote on Twitter.The announcement came after US Secretary of State Mike Pompeo held separate meetings with the foreign ministers of Armenia and Azerbaijan in Washington on Friday.Those meetings were joined by the co-chairs of the OSCE Minsk Group, formed to mediate the conflict and led by France, Russia and the United States, which described them as ""intensive discussions"" on the ceasefire and the beginning of talks about core elements of a comprehensive solution.The Minsk Group said its co-chairs and the foreign ministers agreed to meet again in Geneva on October 29.A senior administration official expressed confidence that this ceasefire would hold. ""US leadership with support from Russia and France brings additional hope that the ceasefire will lead to a lasting peace settlement,"" said the official.But the eruption of new fighting on Sunday and the collapse of two previous ceasefires brokered by Russia raised questions about the prospects for this fresh push to end the clashes in Nagorno-Karabakh, a part of Azerbaijan populated and controlled by ethnic Armenians.Fears of wider conflictThe fighting that broke out on September 27 over the disputed territory has surged to its worst level since the 1990s, when some 30,000 people were killed.Local officials in Nagorno-Karabakh on Sunday accused Azeri forces of firing artillery on settlements in the areas of Askeran and Martuni during the night. Azerbaijan said its positions had been attacked with small arms, mortars, tanks and howitzers.Armenia accused Azeri forces of shelling civilian settlements. Baku denied killing civilians and said it was ready to implement a ceasefire, provided Armenian forces withdrew from the battlefield.The defence ministry of the Nagorno-Karabakh region said on Sunday it had recorded another 11 casualties among its forces, pushing the military death toll to 974.Earlier on Sunday during a meeting with defense officials, Aliyev accusd Armenia of bombarding civilian sites and launching two ballistic missiles on the city of Ganja.Armenian President Armen Sarkissian accused Baku of being ""aggressively stubborn and destructive"".World powers want to prevent a wider war that draws in Turkey, which has voiced strong support for Azerbaijan, and Russia, which has a defence pact with Armenia.Differences over the conflict have further strained relations between Ankara and its NATO allies, with Pompeo accusing Turkey of fuelling the conflict by arming the Azeri side. Ankara denies it has inflamed the conflict.Sarkissian, in comments reprinted by the Armenpress news agency, called on ""global players"" to step in immediately to bring about a ceasefire and said Russia was ""a trusted and pro-active mediator"" between the conflicting sides.Aliyev said it was ""very hazardous"" for Armenia to want Russian military support in the conflict and third parties should not get involved militarily.Russian President Vladimir Putin has said he speaks to leaders of Armenia and Azerbaijan several times a day by phone, and that he hopes the United States will help Moscow broker a solution to the conflict.About 30,000 people were killed in a 1991-94 war over Nagorno-Karabakh. Armenians regard the enclave as part of their historic homeland: Azeris consider it illegally occupied land that must be returned to their control. ";E
AT;Armenia and Azerbaijan at war;"Despite international calls for restraint, the fighting between Armenia and Azerbaijan over the disputed Karabakh region continues. According to their defense ministries, both sides shot each other with heavy artillery fire on Monday night. Azerbaijan ordered a partial mobilization of the population, Armenia had already done this on Sunday for all male citizens. In addition, both countries have imposed martial law. In the worst fighting since 2016, numerous people were killed on Sunday. Nagorno-Karabakh spoke of 31 dead on his side. According to the Interfax agency, around 200 Armenians were also injured. Azerbaijan reported six civilians killed and 19 injured on its side.In view of the escalation, diplomats said the UN Security Council will hold an emergency meeting on Tuesday. The initiative for the meeting behind closed doors came from Germany and France, it said on Monday at the UN headquarters in New York. Several other European countries would have supported this.Russia and Germany had already called on the conflicting parties on Sunday to let their weapons rest. The Interfax agency quoted the Armenian ambassador to Russia on Monday as saying that Turkey had sent around 4,000 fighters from northern Syria to Azerbaijan. The Ria agency reported that the ambassador said the fighters would be deployed in Nagorno-Karabakh. Azerbaijan denied the allegations.Turkey called on Armenia on Sunday to end the hostilities. President Recep Tayyip Erdogan pledged ""increased"" solidarity to traditional ally Azerbaijan after a phone call with President Ilham Aliyev. Russian President Vladimir Putin spoke on the phone with the Armenian Prime Minister Nikol Pashinyan. He called on the international community to prevent Turkey from interfering in the conflict.Both parties to the conflict have accused each other of being responsible for the escalation. Azerbaijan said that Armenia had fired at Nagorno-Karabakh from the air and with artillery. The own troops then destroyed three tanks on the opposing side and shot down two helicopters and three drones. Azerbaijan disagreed, saying it responded to an Armenian attack.Long conflictSince the collapse of the Soviet Union, Armenia and Azerbaijan have been arguing over the belonging of Nagorno-Karabakh, which is mainly inhabited by Armenians and which separated from Azerbaijan in 1991. The West and the countries in the region are concerned about the conflict, as it threatens to destabilize the South Caucasus. Important oil and gas pipelines run there. Although the predominantly Christian Armenia and the predominantly Muslim Azerbaijan signed a ceasefire in 1994, both sides regularly accuse each other of attacks around Nagorno Karabakh and along the common border. At least 200 people died in April 2016 when the conflict flared up again.Chronology:1805 - Tens of thousands of Armenians from the Ottoman Empire settle in Nagorno-Karabakh again under Russian rule.1915/16 - Genocide against the Armenians in the Ottoman Empire. Another wave of immigration from Armenians to Nagorno-Karabakh. Water and land shortages lead to interethnic conflicts with pogroms.1918-20 - In the short period of independence from Moscow after the end of the tsarist rule, war broke out between Armenia and Azerbaijan over Nagorno-Karabakh.1923 - Under Soviet rule Nagorno-Karabakh, largely inhabited by Armenians at that time, comes to the Azerbaijani SSR as a region with autonomy rights.February 1988 - The Armenian SSR supports Nagorno-Karabakh's proposal to join the region to the Armenian SSR. Moscow refuses. An azeri is killed in a demonstration in Yerevan. In retaliation, a pogrom of Armenians kills dozens in the Azerbaijani city of Sumqayit (Sumgait).September 1991 - The Parliament of Nagorno-Karabakh proclaims the independent, but never internationally recognized ""Republic of Nagorno-Karabakh"". Armenia renounced the Soviet Union after a referendum.November 1991 - The Azerbaijani SSR revokes Nagorno-Karabakh's autonomy. Clear majority in a referendum in Nagorno-Karabakh for independence.January 1992 - After the end of the Soviet Union and the renewed declaration of independence by Berg-Karbach, war breaks out.May 1994 - After further acts of war, an armistice comes into force. Balance: 20,000 dead, more than a million displaced in total. The situation to this day: Armenia and Nagorno-Karabakh control most of Nagorno-Karabakh and several surrounding Azerbaijani districts.October 1999 - First of several meetings between Presidents Haidar Aliyev (Azerbaijan) and Robert Kocharian (Armenia, ex-President of Nagorno-Karabakh), which, however, do not bring a solution, as do meetings between their successors and the foreign ministers of both countries.2007 - Azerbaijan, rich in oil and gas, is arming itself. The (still in office) Azerbaijani President Ilham Aliyev, son of Haidar Aliyev, threatens a new war.March 2008 - After the ceasefire had been repeatedly broken before, followed by mutual accusations, a total of around 20 soldiers died in the worst escalation in artillery fights to date. As a result, Armenia and Azerbaijan signed a declaration that peace efforts should be intensified.November 2009 - New peace talks between Armenia and Azerbaijan at the presidential level remain without a breakthrough. The ceasefire continues to be broken.April 2016 - The heaviest fighting since the 1994 armistice kills more than 100 people.2018 - After a controversial move from the office of president to the office of head of government, Serzh Sarkissian has to resign in the face of mass protests. Opposition leader Nikol Paschinian comes to power as head of government.2020 - Araik Haratjunian is elected as the new ""President"" of Nagorno-Karabakh. At the end of September there was another serious escalation of fighting in and around Nagorno-Karabakh, with more than 20 dead. Both Armenia and Azerbaijan are declaring a state of war.(apa, reuters, afp)";E
UK;Armenia and Azerbaijan conflict: What’s behind new fighting over Nagorno-Karabakh region?;The mountainous region of Nagorno-Karabakh where deadly new fighting erupted last week between Armenian and Azerbaijani forces, has been in a tense limbo since a 1994 truce. The Associated Press explains what’s behind the long-unresolved conflict and its most recent flare-up: Where is Nagorno-Karabakh? Nagorno-Karabakh is a region within Azerbaijan that has been under the control of ethnic Armenian forces backed by the Armenian government for more than a quarter-century. The territory in the southern Caucasus Mountains covers an area of about 4,400 square kilometers (1,700 square miles) about the size of the U.S. state of Delaware. How did the conflict start? During the Soviet era, the mostly Armenian-populated region had an autonomous status within Azerbaijan. Long-simmering tensions between Christian Armenians and mostly Muslim Azeris began boiling over as the Soviet Union frayed in its final years The open conflict broke out in 1988 when the region made a bid to join Armenia, triggering hostilities. They escalated into a full-blown war after the USSR collapsed in 1991, which killed an estimated 30,000 people. and displaced about 1 million. By the time the war ended with a cease-fire in 1994, Armenian forces not only held Nagorno-Karabakh itself but also seized substantial areas outside the territory's borders. What’s happened since? International mediation efforts to determine the region’s final status have brought little visible progress. Landlocked Armenia has suffered badly from an economic blockade imposed by Azerbaijan and its ally, Turkey The region has remained tense and fighting periodically broke out. Scores were killed in an outbreak of hostilities in 2016, and then again this July when Azerbaijan and Armenia exchanged fire across their border. Since new fighting started on Sept. 27, the warring sides reported hundreds of deaths, making it the biggest escalation in the conflict since 1994. Nagorno-Karabakh officials said about 220 soldiers and at least 21 civilians have died in the fighting. Azerbaijani authorities haven't reported military casualties but said 27 civilians have been killed. Both sides have accused each other of expanding the hostilities onto their territory beyond Nagorno-Karabakh. The fighting involving heavy artillery, drones and warplanes has continued despite calls for a cease-fire from the West and Russia. What’s the broader impact? In addition to causing casualties and damage, the conflict in the small, hard-to-reach region is also of concern to major regional players. Orthodox Christian Russia is Armenia’s main ally and sponsor and has a military base there. NATO-member Turkey, which has close ethnic, cultural and historic bonds with Azerbaijan, has vowed its full backing to Baku in the conflict and has declared its readiness to support it militarily, if necessary. Turkey has backed Azerbaijan’s demand for Armenia’s withdrawal from Nagorno-Karabakh as a precondition for any ceasefire. Turkey has trained Azerbaijani officers for decades and the two countries, which often refer to their special relationship as one of “two states, one nation,” recently conducted military exercises in Azerbaijan. Ankara is known to have sold drones and other weapons to Azerbaijan. Iran neighbors both Armenia and Azerbaijan and is calling for calm. The United States, France and Russia are the official sponsors of the long-stalled peace process under the auspices of the Vienna-based Organization for Security and Cooperation in Europe. The three countries have repeatedly called for cessation of hostilities and peace talks.;N
ES;Armenia and Azerbaijan declare a ceasefire in the war in Upper Karabakh and accuse each other of breaking it within hours;"Azerbaijan and Armenia agreed on Saturday a humanitarian truce starting at midnight this Sunday (22:00 on Saturday in Spain), according to the Ministry of Foreign Affairs of Armenia and also confirmed by the Ministry of Foreign Affairs of Azerbaijan. The truce, according to the Azerbaijani diplomacy statement, was agreed upon in response to the October 1 declaration of the presidents of the United States, Russia and France, who represent the countries co-chairs of the Minsk Group of the Organization for Security in Europe (OSCE). The ceasefire, however, has hardly had any effect. Both countries have accused each other of violating the humanitarian truce in the early hours of Sunday.The Upper Karabakh, a breakaway region of Azerbaijan populated mainly by Armenians and supported by Yerevan, has been the scene of bloody fighting since September 27. According to an official balance, although very partial, more than 700 people have died in the clashes.""Despite the declaration of a new humanitarian ceasefire, the Azerbaijani armed forces have once again violated the agreement,"" Shushan Stepanyan, a spokesman for the Armenian Ministry of Defense, wrote on his Facebook profile. Stepanián specified that ""around 7:20 (local time), with the support of artillery fire, the enemy launched an offensive in the southern sector (Judaferin reservoir) in order to occupy advantageous positions."" ""There are casualties on both sides,"" he added.In turn, the Ministry of Defense of Azerbaijan denounced that the Armenian forces attacked with mortar and artillery fire “the surroundings of the city of Dzhabraíl and the villages liberated from the occupation in the homonymous district that are located along the Araz river. ”.This was the second attempt by the belligerents to consolidate a ceasefire after almost three weeks of fighting in the disputed separatist region of Upper Karabakh, in which hundreds of people have died. Hours before the announcement of the truce, Russian Foreign Minister Sergey Lavrov held telephone conversations with his Azerbaijani counterparts, Jeihun Bayramov, and Armenian, Zohrab Mnatsakanyan.According to Moscow, Lavrov insisted before his interlocutors on the importance of the agreement reached in the Russian capital to begin, together with the ceasefire, ""substantive negotiations"" in order to reach a peaceful settlement to the conflict. That ceasefire was never fully implemented, and military actions intensified instead of diminishing. Azerbaijani President Ilham Aliev announced on Sunday the liberation of the city of Füzuli and seven other towns in the Armenian-occupied region of the same name south of Upper Karabakh.The Armenian-Azerbaijani conflict dates back to the times of the Soviet Union, when at the end of the 1980s the Azerbaijani territory of Upper Karabakh, populated mainly by Armenians, requested their incorporation into neighboring Armenia, after which a war broke out that caused some 25,000 deaths. At the end of the fighting, which lasted until 1994, the Armenian forces took control and also occupied vast Azerbaijani territories, which they call the “security strip”, to unite them with Armenia.Azerbaijan maintains that the solution to the conflict with Armenia necessarily involves the liberation of the occupied territories, a demand that has been supported by several resolutions of the UN Security Council. For its part, Armenia supports the right to self-determination of Upper Karabakh and advocates the participation of representatives of the separatist territory in the negotiations on the settlement of the conflict.";E
EE;FORTE INTERVIEWS The Armenian and Azerbaijani View: Who Really Owns Nagorno-Karabakh?;The Karabakh conflict began in 1988, when the Nagorno-Karabakh region, the majority of whose population was Armenian, announced its withdrawal from Azerbaijan. In the war between Nagorno-Karabakh after 1992-1994, Azerbaijan lost control of Nagorno-Karabakh and the seven regions bordering the Armenian-Karabakh Republic.Negotiations have been held since 1992 to resolve the conflict by the OSCE Minsk Group, in which, in addition to Azerbaijan, Russia, the United States and France are acting as mediators. Negotiations between Azerbaijan and Armenia have been going on for three decades, to no avail. The Nagorno-Karabakh line of control is 1992-1994. The low-intensity combat operations continued until the end of the 2016 war, and before the 2020 war, the most serious battles were in April 2016.The Armenian view: we have received pogroms and killings in response to attempts at a peaceful solutionForte first asked Ruben Mehrabjan, an expert on international relations and security in Armenia and himself from Karabakh, about the development and history of the region.Why are Armenians convinced that Nagorno-Karabakh must belong to Armenia?All you have to do is go to Nagorno-Karabakh and see what churches there are. Everything is built there by the Armenians, there is nothing to talk about here. You need to see it with your own eyes and everything will be clear.Armenians suffered one of the most horrific crimes of the 20th century, the Armenian genocide. In the current war, the balance of power is very much to the detriment of Armenia. Is there a fear of a repeat of the events of 1915 in Armenia?It's not just fear, it's a fact. The current war is to drive the Armenians out of Nagorno-Karabakh. All this is being done by Azerbaijan on the pretext that these are Azerbaijani territories and that the Azeris are currently liberating their territories. It is also a fact that Armenians have already been expelled from the territory of the former USSR in the former Azerbaijan, except from Nagorno-Karabakh. This is due to the fact that the latter is under the protection of Armenian soldiers. The Nagorno-Karabakh conflict is different from all other post-Soviet conflicts in that it is a war for life and death.;E
UA;Armenia surrender. Who's the main beneficiary of Karabakh truce?;"The latest developments around Nagorno-Karabakh were predictable and logical – in terms of behavior of both Turkey and Russia. Indeed, the Azerbaijani-Armenian war was in fact about the Turkey-Russia confrontation.Turkey ultimately won, having received for the first time in 75 years, since World War 2, the opportunity to influence the political situation in the South CaucasusRussians believe they won. However, in reality, this isn't the case. It's Turkey who ultimately won, having received for the first time in 75 years, since World War 2, the opportunity to influence the political situation in the South Caucasus. This is Turkey's main achievement. Moscow also prefers to not comment on the fact that Turkish observers will keep an eye on Russian peacekeepers in Karabakh.Anyway, Nagorno-Karabakh is returning under Azerbaijan's jurisdiction. At the same time, Russia maintains good relations with Azerbaijan as the Kremlin did not intervene in the conflict at this stage. Massively weakened both politically and militarily, Armenia will be forced to ""bow down"" to Russia begging for salvation, and the latter is likely to show some love in capacity of an ""elder sister."" And all political blame for the surrender will of course be put on Prime Minister Nikol Pashinyan. In fact, Pashinyan has already taken all blame upon himself. Therefore, most likely, a change in the political leadership is imminent, and Moscow will surely try to plant a loyal successor, pushing for the return to power of Sargsyan's party, the so-called ""party of war."" At the same time, Russia will get yet another enclave, this time in the shape of an entire Armenia, where it will strengthen its military presence, deploying more troops, as well as further determine Armenia's foreign and domestic policies.Turkey gets a land corridor to Azerbaijan, which no one will controlHowever, Turkey will still receive the greatest preferences. Despite the fact that the Russian peacekeeping contingent will be stationed in Nagorno-Karabakh, it will stay within its borders. The Lachin corridor is only 5 km wide. The number of peacekeepers and hardware is clearly regulated: 1,920 soldiers, 90 armored personnel carriers, and 380 vehicles. These forces pose no major military threat to Azerbaijan. The financial costs of maintaining the peacekeeping contingent, however, shall be borne by Russia. They will also have to fund construction of a new bypass road around Shusha, as well as restore Armenian economy, affected by military measures, primarily, mobilization. All this will be Russian money.Turkey could use this land corridor, among other things, for laying oil and gas pipes from Central AsiaSo what Russia got is yet another ""headache.""At the same time, Turkey receives a land corridor to Azerbaijan, which no one will control. Russia will be responsible for ensuring security of this corridor: Russian border guards will be obliged to protect the area from provocations. I suggest Turkey will ultimately use this land corridor, including for laying oil and gas pipes from Central Asia running via Azerbaijan to Turkey. This is Erdogan's old strategy of turning Turkey into a southern gas and oil hub. Not only is Erdogan resolving the issue by bypassing the Russian territory – Russians will also have to guard the corridor... In the meantime, Turkish observers will closely monitor the way Russia fulfills its obligations in terms of ensuring peace in the region.So no matter how long that Armenia prepares for a revanche, but as long as there are Russian peacekeepers there, Yerevan's dream of returning Nagorno-Karabakh by force will be impossible to realize.But why did Russia ""surrender"" Armenia? First, Pashinyan didn't come to power at Putin's behest. Pashinyan is a protégé of Gazprom. Putin's man is Serzh Sargsyan, representing the so-called Karabakh Clan.Russia, apparently, decided to ""kill all birds with one stone""Secondly, the situation in Nagorno-Karabakh was at an impasse. Over the past couple of years, Ilham Aliyev, with Turkey's support, had increasingly been demanding from Russia a clear ""road map"" for Azerbaijan to regain control of Nagorno-Karabakh. The first alarm bell rang in 2016 when a ""four-day war"" erupted, but Armenia did not draw no conclusions whatsoever.So, Russia, apparently, decided to ""kill all birds with one stone"": to maintain good relations with Azerbaijan, allowing them to conquer Karabakh, to retain normal ties with Turkey, to get a weakened Armenia in order to deploy troops there, i.e. to strengthen own military presence. Also, Russia got the opportunity to ensure the change in Armenia's political leadership.Russians forgot the most important thing: Turks will now monitor them closelyHowever, everything turned out as in Dante's Divine Comedy, when God told who would watch out for whom. So, the Russians forgot the most important thing: Turks will now monitor them closely. So who is the main beneficiary of this whole campaign then? It's Turkey and Azerbaijan.In fact, Turkey, with the hands of the Russian Federation, will henceforth be in control of the situation in the South Caucasus.";A
BH;Foreign Ministry invites BiH Citizens to leave Conflict-affected Regions;The Ministry of Foreign Affairs of Bosnia and Herzegovina does not recommend traveling to Azerbaijan due to the escalation of the conflict between that country and Armenia, in the area of Nagorno-Karabakh, said the head of the Public Relations Office of this ministry, Nebojsa Regoje stated on Tuesday.The recommendation for BiH citizens, who are currently in war-torn regions, is to leave immediately. The Consulate General of BiH in Istanbul is responsible for the consular protection of BiH citizens, and the telephone number is + / 90 212 / 236-69-34. For all additional clarifications and instructions, BiH citizens can contact the BiH Embassy in Ankara.The President of Azerbaijan, Ilham Aliyev, signed a decree declaring a state of emergency in the entire country, starting on September 28th. Military mobilization was announced and a state of war was declared in several regions, after Armenia declared total military mobilization.The Nagorno-Karabakh conflict is an ethnic and territorial conflict between Armenia and Azerbaijan over the disputed region of Nagorno-Karabakh and seven surrounding districts, which are de facto controlled by the self-declared Republic of Artsakh, but are internationally recognized as de jure part of Azerbaijan. The conflict has its origins in the early 20th century. Under the Soviet Union, Joseph Stalin decided to make the Nagorno-Karabakh region an autonomous oblast of Soviet Azerbaijan.The present conflict began in 1988, when the Karabakh Armenians demanded that Karabakh be transferred from Soviet Azerbaijan to Soviet Armenia. The conflict escalated into a full-scale war in the early 1990s.A ceasefire signed in 1994 provided for two decades of relative stability, which significantly deteriorated along with Azerbaijan’s increasing frustration with the status quo, at odds with Armenia’s efforts to cement it. A four-day escalation in April 2016 became the deadliest ceasefire violation to date.;N
