coutry_tag;header;body;class
DE;Foreign Minister Maas on the renewed massive clashes between Armenia and Azerbaijan;Foreign Minister Heiko Maas issued the following statement today (27 September) on the renewed massive clashes between Armenia and Azerbaijan:The news about renewed massive clashes between Azerbaijan and Armenia along the entire line of conflict do alert me. There are already reports of civilian casualties on both sides. I call on the parties to the conflict to immediately stop all acts of fighting and especially the shelling of villages and cities.The conflict over the Nagorno-Karabakh region can only be resolved through negotiations. The OSCE Minsk group and its three co-chairs stand ready to facilitate this. Armenia and Azerbaijan must  refrain from violent acts immediately and move on to substantive negotiations.;N
DE;Erdogan praises Azerbaijan's 'glorious victory,' calls for regime change in Armenia;"Turkey's Recep Tayyip Erdogan has attended a large-scale military parade in Azerbaijan that celebrated its military victory over Armenia. On display were the Turkish drones that helped bolster Baku's forces.Turkish President Recep Tayyip Erdogan renewed his calls for a change of administration in Armenia as he celebrated Azerbaijan's military victory against the country.Erdogan attended a military parade in Baku that saluted Azerbaijan's victory in the Nagorno-Karabakh conflict, that claimed more than 5,000 lives.He called for new leadership in Armenia, and said that it could join a regional cooperation with Azerbaijan if it took certain steps. He also raised the possibility of reopening the border between Turkey and Armenia.Turkey provided critical diplomatic and military backing to Azerbaijan in the conflict over the Armenian-majority enclave, reportedly including redeploying Turkish mercenaries from Syria to bolster Baku's army.Under a Moscow-backed agreement, Armenia ceded control over some of the areas it lost during the fighting as well as seven adjacent districts it seized during a war in the 1990s. De jure, Nagorno-Karabakh is Azerbaijani territory, but the enclave had been controlled by Armenia since the 1990s conflict.""We wish for the Armenian people to rid itself of the burden of leaders who console them with the lies of the past and trap them into poverty,"" Erdogan said in Baku on Thursday.";A
DE;Armenia: Tens of thousands rally to demand PM's resignation over Azerbaijan pact;Protesters have once again called for Nikol Pashinyan to quit over a peace agreement with Azerbaijan. The Russia-brokered pact was agreed after weeks of fighting over the Nagorno-Karabakh region that left thousands dead.Tens of thousands of people took to the streets of Armenia on Saturday to call for the resignation of Prime Minister Nikol Pashinyan, in the biggest protest yet sparked by last month's agreement to end a recent territorial conflict with Azerbaijan.After six weeks of fighting which resulted in 4,600 deaths, Pashinyan signed a pact with Azerbaijan, ceding control of large parts of the disputed Nagorno-Karabakh region. The ceasefire deal, brokered by Russian President Vladimir Putin, came into force on November 10 and is kept in check by 2,000 peacekeepers deployed by the Kremlin.;E
DE;Federal Foreign Office on the agreement of a humanitarian ceasefire between Armenia and Azerbaijan;A Federal Foreign Office Spokesperson issued the following statement today (10 October) on the agreement of a humanitarian ceasefire between Armenia and Azerbaijan:The Federal Government welcomes the agreement reached in Moscow on a humanitarian ceasefire between Armenia and Azerbaijan and calls upon both sides to respect the ceasefire and ensure further casualties are absolutely avoided. We welcome the declared will of the two countries to begin substantive negotiations mediated by the Co-Chairs of the OSCE Minsk Group and based on the fundamental principles of conflict resolution. We call upon Armenia and Azerbaijan to work intensively now on a peaceful and lasting solution to the conflict.The Federal Government extends its thanks to the Co-Chairs of the OSCE Minsk Group for their work to bring an end to the fighting and launch substantive talks. As a member of the OSCE Minsk Group, we reaffirm our support of the Co-Chairs of the OSCE Minsk Group as they continue their endeavours to find a negotiated solution.;N
DE;Federal Foreign Office on the Nagorno-Karabakh conflict;A Federal Foreign Office Spokesperson issued the following statement on 17 October:The German Government again calls on Armenia and Azerbaijan to respect the agreements reached on 10 and 17 October 2020 regarding a humanitarian ceasefire between the two countries, to immediately end all hostilities and to avoid further casualties at all costs. Armenia and Azerbaijan have committed to facilitating humanitarian assistance. They must now create conditions that enable humanitarian actors, such as the International Committee of the Red Cross, to get the necessary aid to people affected by the conflict.It is now vital for Armenia and Azerbaijan to immediately resume efforts towards finding a peaceful and lasting solution to the conflict, based on the fundamental principles of conflict resolution. As a member of the OSCE Minsk Group, Germany reaffirms its support of the Co-Chairs of this group as they continue their endeavours to find a negotiated solution.;N
DE;Human Rights Commissioner Kofler on the situation in and around Nagorno‑Karabakh;Bärbel Kofler, Federal Government Commissioner for Human Rights Policy and Humanitarian Assistance, issued the following statement today (24 November 2020) on the ceasefire and the provision of humanitarian assistance to the population in and around Nagorno-Karabakh:The reports and images in recent weeks and months from Nagorno-Karabakh have shocked us all. I welcome the ceasefire agreement reached on 9 November between Armenia and Azerbaijan after six weeks of bitter fighting, and urge all parties involved to safeguard human rights and adhere to international humanitarian law. Our topmost priority must now be to secure humanitarian assistance for those that need it. Efforts to this end must be anchored in the humanitarian principles of compassion, impartiality, neutrality and independence.I am grateful for the tireless commitment and work of the International Committee of the Red Cross, which the Federal Government has actively supported with funds totalling two million euro to date. In order for this assistance to reach those that need it, it is vital that the ICRC and other humanitarian organisations are granted full and unhindered humanitarian access to the local population.;N
DE;Speech by Foreign Minister Heiko Maas to the German Bundestag at the topical debate on the situation in Nagorno-Karabakh;The conflict over Nagorno-Karabakh, which has flared up time and again in recent years, or indeed in recent decades, has boiled over into a hot war in recent weeks. All of us have been horrified to follow these developments, especially in the last few days. We have seen the use of missiles and rockets and also of heavy combat equipment. We have heard about the number of casualties, which is increasing every day. As always in a war, the civilian population is suffering in particular. The fighting is destroying bridges, villages, roads. Tens of thousands of people have already fled their homes, and their number is constantly growing. Well over a hundred civilians have already been killed by the violence, including in areas far beyond the conflict zones.Ladies and gentlemen, we are advocating two goals in particular with a view to putting an end to this suffering. Firstly, we must alleviate the most acute suffering of people on the ground. The Red Cross, currently the only aid organisation with access to the disputed areas, asked the international community for nine million euro in emergency assistance in mid-October. As a first step, Germany will provide two million euro to help those who have lost their homes, belongings and livelihoods entirely. However, I also want to say that we continue to stand ready to do more should this be required. I say this above all in view of the upcoming winter in the Caucasus, which is already threatening to worsen the supply situation for the people still further.Secondly, an immediate humanitarian ceasefire is all the more important. Azerbaijan and Armenia must put an end to the fighting – this isn’t something that not only we, but also the international community, are calling for – with no strings attached.Both the Federal Chancellor and I have made this abundantly clear to both countries, and also to other parties involved in this context, such as Turkey, time and again. This is also the unanimous message sent by the United Nations, the OSCE and the European Union to the warring parties. In the UN Security Council, we have unanimously called on Armenia and Azerbaijan in recent weeks – and this is by no means an everyday occurrence in the UN Security Council at the moment – to finally put an end to the hostilities and return to the negotiating table. We wish to thank and are lending our support to the OSCE, which, through the Minsk Group, we believe continues to play the pivotal mediating role.But despite all this unity at the international level, we have seen that the parties to the conflict are not changing tack at present. The humanitarian ceasefires brokered by the co-chairs of the Minsk Group, France, Russia and the US, were all broken within a very short space of time, most recently at the beginning of this week. We therefore have no choice but to turn up the international pressure on both parties to the conflict. Azerbaijan and Armenia must acknowledge at long last that a military solution to this long-standing conflict will not be accepted by the international community. A better negotiating position cannot be achieved on the battlefield. There is no alternative to a ceasefire and the commencement of fresh talks. Everyone must come to realise this, both the parties to the conflict and those who are otherwise involved. A signal must be sent by all stakeholders in the region that they too are playing a decisive role in ending the bloodshed.Ladies and gentlemen, a humanitarian ceasefire would only be a first step, of course. But it is, at the end of the day, a vital prerequisite for ensuring that a lasting, namely a political, solution to the Nagorno-Karabakh conflict is achieved at long last. As a member of the Minsk Group, Germany is ready to promote the substantial negotiations that are necessary for this and which were apparently not conceivable in the past. And I wish to say that Turkey must also live up to its responsibility as a member of the Minsk Group and do its part to bring about a peaceful solution at long last.The European Union can and will play an important role in this regard. After all, with its Special Representative for the South Caucasus and the Eastern Partnership, it has instruments at its disposal to support political negotiations and, down the line, also economic reconstruction in both Armenia and Azerbaijan.Ladies and gentlemen, decision-makers in Yerevan and Baku and their supporters are ultimately faced with the choice of either fuelling a war that has already brought suffering and destruction to the people of Nagorno-Karabakh and which can all too easily turn into a regional conflagration, or – and this is the alternative for which we must strive – finally listening to the voice of the international community and changing course.In all this, you should remember that lasting peace will only be achieved if the process of de-escalation gets under way now. That is our message, and that is the clear message of the entire international community, which it has expressed with a unanimity that, unfortunately, can rarely be achieved with regard to other conflicts.Thank you.;N
DE;Armenia mourns Nagorno-Karabakh dead as PM faces calls to resign;"Armenians have begun three days of mourning to honor those killed in the recent fighting with Azerbaijan. Meanwhile, Prime Minister Nikol Pashinyan, accused of mishandling the conflict, faces growing calls to step down.Thousands of Armenians, led by Prime Minister Nikol Pashinyan, marched through the capital Yerevan on Saturday in memory of the soldiers killed in a six-week conflict with Azerbaijan over the Nagorno-Karabakh region.""The entire nation has been through and is going through a nightmare,"" Pashinyan said in a video message before the march. ""Sometimes it seems that all of our dreams have been dashed and our optimism destroyed."" As Armenia began three days of mourning for the war that killed nearly 3,000 Armenians, Pashinyan faced growing calls from the opposition to step down over the handling of the conflict and what critics call a humiliating peace deal with Azerbaijan.The prime minister, accompanied by top officials, led a procession to the Yerablur military memorial cemetery in Yerevan to light incense on the graves of the fallen soldiers.What did Armenia agree to?The opposition, meanwhile, labeled the 45-year-old leader a ""traitor"" for agreeing to end the war in November with a Russia-brokered peace deal that saw Armenia cede swaths of the Nagorno-Karabakh region to Azerbaijan.The loss of land controlled by ethnic Armenian forces for more than a quarter of a century has angered Armenians, many of whom have been protesting against Pashinyan for weeks. Many critics chanted ""Nikol the traitor"" as the prime minister's convoy passed by, while some said he should have stayed away from the cemetery.""He must not desecrate the graves of our children,"" said Misak Avetisyan, who lost a son in the war.Heavy security was deployed at the cemetery, filled to the brink with Pashinyan's supporters who engaged in scuffles with his opponents. Pashinyan, whose wife and son were at the front during the conflict, has rejected the calls to resign. He has defended the peace deal as Armenia's only option to ensure Karabakh's survival.Opposition to stage national strikeLater on Saturday, about 20,000 opposition supporters also marched across the capital to commemorate the victims of the conflict.Armenia's opposition has called on its supporters to stage a national strike on December 22, at the end of the three-day mourning period, to pressure Pashinyan to step down.Pashinyan swept to power in a peaceful revolution in May 2018. But since the latest war, many accuse him of betraying Armenia's interests.Key public figures have joined calls for his resignation, including the influential head of Armenia's Apostolic Church, Catholicos Garegin, and 14 retired military generals who issued a statement on Saturday criticizing the government's handling of the conflict.""This war did not have to happen,"" said former prime minister Vazgen Manukyan, who the opposition says should replace Pashinyan.Armenia and Azerbaijan have for decades been engaged in a simmering conflict over Nagorno-Karabakh. The enclave is internationally recognized as part of Azerbaijan but has been controlled by ethnic Armenians for the past 30 years.The latest conflict over the disputed region erupted in late September, leaving more than 5,000 people dead, including civilians on both sides, and thousands more displaced.As part of the deal, Russia has deployed nearly2,000 peacekeeping troops to Karabakh for at least five years to monitor the peace agreement.";E
DE;Armenia-Azerbaijan prisoner swap begins;"The neighboring countries are allowing prisoners from each side return home as part of an ""all for all"" deal. The prisoners were taken during intense fighting over the contested Nagorno-Karabakh region.A prisoner-swap between neighbors Armenia and Azerbaijan kicked off on Monday, Azerbaijan has confirmed.The exchange began a just about a month after a Russian-brokered cease-fire began, following deadly clashes that broke out in late September over the contested Nagorno-Karabakh region.Officials in Azerbaijan's capital city Baku listed two prisoners who had been returned to Azerbaijan.Returns began under an ""agreement... on the exchange of prisoners and hostages on an 'all for all' basis,"" according to Azerbaijan's State Commission on Prisoners of War, Hostages and Missing Persons in a statement on Monday.It is not known how many prisoners will be exchanged in total.Armenia has recently accused Azerbaijan of delaying the start of the transfer.What is going on between Armenia and Azerbaijan?The Caucasus countries have for decades been engaged in a simmering conflict over Nagorno-Karabakh.The enclave is inhabited largely by ethnic Armenians but is officially part of Azerbaijan. It broke away from Baku in a 1990s war which claimed some 30,000 lives.The fighting that broke out in September has seen the heaviest clashes since a 1994 truce. Around 5,000 people were killed on both sides during this six-week conflict.A cease-fire was eventually brokered by Russia on November 10.The peace deal allowed Baku to reclaim control over vast swathes of Nagorno-Karabakh and surrounding lands previously held by Armenian forces.It prompted protests in Armenia calling for Prime Minister Nikola Pashinyan to step down. Pashinyan described the deal as necessary to prevent Baku from taking over the whole of Nagorno-Karabakh.But the deal has not entirely put an end to the violence: both countries have accused the other of violating the cease-fire.Russia, which has deployed peacekeepers to Nagorno-Karabakh to monitor the peace accord, has confirmed this.Azerbaijani President Ilham Aliyev warned that Armenia ''shouldn't try to start it all over again.''";N
DE;Nagorno-Karabakh: Azerbaijan discloses troop deaths despite cease-fire;"Azerbaijan has said four of its soldiers have been killed, and accused Armenian-backed separatists of an ambush. The deaths would be major breach of the Nagorno-Karabakh cease-fire.Armenia and Azerbaijan have traded blame for breaking the terms of a cease-fire in the disputed Nagorno-Karabakh region. The Azeri government said Sunday that four of its troops had been killed in Nagorno-Karabakh after a group of Armenian fighters ambushed its forces on November 26.The deaths are the first to be reported during the conflict's cease-fire, which has lasted more than a month. For its part, Armenia said that six separatist fighters were injured in clashes with Azerbaijan's troops after skirmishes broke out on Friday evening.The Nagorno-Karabakh conflict erupted in September with clashes between Azerbaijan and separatists backed by Armenia over the mountainous region. Fighting supposedly ceased on November 10, thanks to a Russia-brokered peace deal that saw Armenia cede parts of its territory. More than 5,000 people, including civilians, were killed during the fighting between the ex-Soviet rivals, who had previously gone to war in the 1990s over the mountainous region. Russia has deployed nearly 2,000 peacekeepers to the troubled region for at least five years, to monitor the peace deal and to facilitate the return of refugees. Moscow confirms cease-fire violation Responding to Armenian accusations, the Baku government said the clashes over the weekend had taken place in an area that fell under its control. It said its forces had carried out a military operation against enemy forces responsible for the deadly attacks on Azeri servicemen. But Armenia said its forces we simply repelling attempted intrusions by Azerbaijan's forces into territories supposed to remain under the control of the rebel province's government. The Armenian Foreign Ministry said Russian forces were not present in the area where the clashes broke out. Azerbaijan's State Security Service responded, saying ""unfounded accusations against the Azeri side and the Russian peacekeepers by some Armenian leaders and media"" were unacceptable. Azerbaijani President Ilham Aliyev warned that Armenia ''shouldn't try to start it all over again.''''It must be very cautious and not plan any military action. This time, we will fully destroy them. It mustn't be a secret to anyone,"" Aliyev said. Russia's Defense Ministry reported that the cease-fire had been violated for the first time, but stayed silent on assigning blame. ";N
DE;Nagorno-Karabakh: Russian army reports cease-fire breach;"Armenia and Azerbaijan have accused each other of violating a peace deal that ended six weeks of fighting over the disputed Nagorno-Karabakh region.Several people were killed in an apparent attack by Azerbaijani forces at a military base in the restive Nagorno-Karabakh region, the German Press Agency (dpa) reported on Saturday, citing local officials.Separatist officials in Nagorno-Karabakh said the Azerbaijani military launched an attack late Friday that left three local ethnic Armenian servicemen injured. The attack comes just over a month after fighting ceased in the region. The Russian defense ministry, which has deployed peacekeepers to Nagorno-Karabakh to monitor the peace accord, also reported a violation of the cease-fire.""One case of cease-fire violation was reported on December 11 in the Hadrut district,"" it said in a statement.The Armenian Defense Ministry confirmed the Azerbaijani army had attacked again, close to two villages in the south of Nagorno-Karabakh, adding that it was taking ""appropriate measures."" The ministry did not provide further information.In response, Azerbaijani President Ilham Aliyev blamed Armenia for the new clashes and threatened to ""break its head with an iron fist.''""Armenia shouldn't try to start it all over again,'' Aliyev said during a meeting with top diplomats from the US and France. ''It must be very cautious and not plan any military action. This time, we will fully destroy them. It mustn't be a secret to anyone,"" he said.";E
DK;Nagorno-Karabakh reports civilian casualties amid shelling;"At least three civilians in Nagorno-Karabakh's largest city were killed during overnight shelling by Azeri forces as Baku pushed its offensive to gain control over separatist territory for a sixth week.Local authorities said a woman and her two grandchildren died in the same house in the regional capital, Stepanakert, after rockets and artillery shells hit residential areas.The strategic city of Shushi, 15 kilometers (9 miles) to the south of Stepanakert and the enclave's second-largest city was also attacked overnight. Several houses were on fire, the territory's Emergency and Rescue Service reported.""The Azerbaijani-Turkish forces opened intense gunfire at the town of Shushi and the city of Stepanakert during the entire night,"" Armenian state news agency Armenpress reported.Independent observers said fighting appeared to be moving deeper into the mountainous enclave.Azerbaijan's Defense Ministry has denied the reports of targeting civilian areas, calling the allegations ""misinformation."" Azerbaijan has accused Armenia of targeting the city of Terter and nearby villages in Azerbaijan.Tensions escalateAt least 1,000 people have died in and around Nagorno-Karabakh, an enclave internationally recognized as part of Azerbaijan but populated and controlled by ethnic Armenians backed by Armenia since a war ended there in 1994. The latest outbreak of conflict began on September 27.According to Nagorno-Karabakh officials, 1,177 of their troops and 50 civilians have been killed. Baku has reported at least 92 civilian deaths and more than 400 wounded.Russian President Vladimir Putin said on October 22 that the actual death toll was nearing 5,000.According to the UN children's agency UNICEF, over 130,000 residents have been displaced since fighting escalated.The conflict, which also threatens the security of Azeri oil and gas pipelines, has continued despite two Russia-brokered cease-fires and a US-negotiated truce failing instantly after it took effect.A week ago, France, Russia and the United States called on Armenia and Azerbaijan to make a mutual agreement not to target residential areas, but the accord failed within hours.Azerbaijani President Ilham Aliyev has said that Armenian forces must withdraw from Nagorno-Karabakh for the conflict to end.";E
DK;Nagorno-Karabakh: Azerbaijan announces capture of major city;"Azerbaijan has seized control of Shushi in Nagorno-Karabakh, according to the country's president on Sunday, after six weeks of fighting with Armenia.Armenian officials denied Shushi had been captured, however, insisting fighting is still ongoing over the strategically key city in the region.In a televised address to the nation, Azerbaijani President Ilham Aliyev said troops had taken control and that: ""Shusha is ours. Karabakh is ours,'' using the Azerbaijani version of the city's name.""(This day) will become a great day in the history of Azerbaijan,"" Aliyev said.Armenia: The fight is not overIn the aftermath of Aliyev's comments, Armenian Defense Ministry spokesman Artsrun Ovannisian took to Facebook and said that ""fighting in Shushi is continuing. Wait and believe in our troops.""Shushi is of significance because it lies about 10 kilometers (6 miles) south of the region's capital — Stepanakert — and is situated along the main road connecting Nagorno-Karabakh with Armenia.The landlocked disputed territory of Nagorno-Karabakh is within Azerbaijan but has been under the control of local ethnic Armenian forces since 1994.The latest outbreak of conflict, which has left at least 1,000 dead, began on September 27.Turkish relationsAzerbaijan's chief ally Turkey welcomed the development. ""The joy of our Azerbaijani brothers who liberated their occupied cities and Karabakh step by step is also our joy,'' Turkish President Recep Tayyip Erdogan said at a rally in the northwestern city of Kocaeli.Turkish Foreign Minister Mevlut Cavusoglu and Defense Minister Hulusi Akar also met Aliyev in Baku on Sunday, according to Ankara's Defense Ministry.Meanwhile, locals in Baku took to the streets to celebrate the capture of Shushi, waving flags and chanting slogans, while drivers sounded their car horns.";E
DK;Nagorno-Karabakh: Armenia, Azerbaijan agree to avoid targeting civilian populations amid peace talks;"Armenia and Azerbaijan agreed to not deliberately target civilian populations amid fighting over Nagorno-Karabakh at peace talks in Geneva on Friday.The two sides will also exchange a list of prisoners of war and bodies of those killed in the battlefield within a week, the co-chairs of the Organization for Security and Cooperation in Europe (OSCE) Minsk Group said in a statement published on the OSCE website.""The parties will hand over to the ICRC (International Committee of the Red Cross) the list of prisoners of war currently in custody to ensure access and possible exchange,"" the statement read.Yerevan and Baku will also submit questions and comments regarding possible ceasefire mechanisms in writing, in accordance with the joint statement that was adopted in Moscow on October 10.The co-chairs — Igor Popov of the Russian federation, Stephane Visconti of France and Andrew Schofer of the United States — engaged in separate and joint talks with Armenian Foreign Minister Zohrab Mnatsakanyan and his Azerbaijani counterpart Ceyhun Bayramov.""The sides engaged in an open and substantive exchange of views aimed at clarifying their negotiating positions on core elements if a comprehensive solution in accordance with item 3 of the October 10 joint statement,"" the Co-Chairs said, adding that they will continue working with the two parties ""intensively"" to find a peaceful settlement of the conflict.The mediation talks are the latest attempt to put an end to the longstanding conflict over the territory that is internationally recognized as part of Azerbaijan but is ruled by ethnic Armenians since a war there ended in 1994.The latest outburst in the conflict began in September and has since left hundreds of people dead on both sides.Three ceasefires have failed to stop what is being called the worst fighting in the South Caucasus for more than 25 years.The most recent ceasefire was brokered last week by US Secretary of States Mike Pompeo in Washington.Friday saw sporadic fighting in the region as Azerbaijan's defence ministry said military positions and settlements in the Aghdere, Khojavend and Gubadli areas had come under attack while the Armenian-controlled Nagorno-Karabakh defence ministry said it had foiled Azeri offensives and that shelling of civilian areas of towns in the enclave had resumed.It also said it had captured a Syrian fighter.";E
DK;Russia to 'assist' Armenia if conflict with Azerbaijan spreads beyond Nagorno-Karabakh;"Russia would be prepared to render ""all necessary assistance"" to treaty partner Armenia if the Nagorno-Karabakh conflict expanded to Armenian territory, Russia's Foreign Ministry declared Saturday.Overnight, Armenia and Azerbaijan had again accused each other of shelling residential areas of the separatist Armenian enclave of Nagorno-Karabakh — internationally recognized as lying within Azerbaijan.That followed a fourth cease-fire bid, negotiated Friday in Geneva via the Organization for Security and Cooperation in Europe (OSCE).At those six-hour talks, involving both countries' foreign ministers, the countries pledged not to target civilians and to provide lists of soldiers detained for potential exchanges.Armenia requests assistanceEarly on Saturday, Armenian Prime Minister Nikol Pashinyan had formally asked Russian President Vladimir Putin for ""urgent consultations"" on security assistance, reiterating that Turkey was backing Azerbaijan.Russia and Armenia have a 1997 mutual assistance treaty, with Russia maintaining a base in Armenia's second-largest city of Gyumri.Shelling asserted by both sidesNagorno-Karabakh authorities said Saturday shelling had struck the central market in Stepanakert, the enclave's largest city. Armenia's Defense Ministry said several civilians had been wounded in Shushi in the enclave's south.Azerbaijan's Defense Ministry denied both accusations and said Azeri regions of Terter, Aghdam and Aghjabedi had come under artillery fire.The monthlong conflict over Nagorno-Karabakh has officially claimed more than 1,200 lives but the actual death toll on all sides is thought to be substantially higher.";E
DK;Nagorno-Karabakh: Azerbaijan, Armenia accuse each other of breaking cease-fire;"The Azerbaijan Foreign Ministry on Monday accused Armenia of a ""gross violation"" of a US-brokered cease-fire in Nagorno-Karabakh , shortly after it went into effect. Baku said Armenian forces had shelled villages in the Terter and Lachin regions. Armenia's defense ministry called the claim ""misinformation,"" saying instead Azerbaijan had ""grossly violated"" the cease-fire when it launched an artillery attack on various combat positions on the front line.Armenian President Nikol Pashinyan insisted on Facebook that his country ""continues to strictly adhere to the cease-fire regime,"" while an aide to Azerbaijani President Haikmet Hajiyev said in a statement that ""the Azerbaijani side is exercising restraint.""DW received confirmation that fighting had broken out again, but according to correspondent Aaron Tilton in the Armenian capital Yerevan, it was ""not clear which side was responsible for the salvos.""Short-lived truceThe ""humanitarian"" cease-fire was announced by the United States following talks with the foreign ministers of Azerbaijan and Armenia in Washington on Sunday and took effect at 8 a.m. local time (0400 UTC).The deal followed nearly a month of fresh conflict in the region, internationally recognized as part of Azerbaijan but run by ethnic Armenians. Two previous temporary truces, brokered by Russia, have failed to hold.Russia, the US and France are leaders of the so-called Minsk Group, which has been working to negotiate a peaceful resolution to the conflict since the 1990s.The warring parties agreed to abide by the terms of the cease-fire agreed in Moscow on October 10, which were reaffirmed in the statement issued from Paris on October 17, a joint statement said.The State Department said over the weekend that the Minsk co-chairs and foreign ministers had ""agreed to meet again in Geneva on October 29"" to seek ""all steps necessary to achieve a peaceful settlement of the Nagorno-Karabakh conflict.""Month of violenceFighting over the region has surged to its worst level since a war from 1991-1994 that killed some 30,000 people.More than 1,000 people have reportedly been killed in the latest violence — mostly Armenian separatists — but the true death toll is believed to be much higher. Azerbaijan said 65 of its civilians had been killed but has not released any figures on its military casualties. Last week, Russian President Vladimir Putin said close to 5,000 people had been killed.Armenians consider the mountainous enclave to be part of their historic homeland while Azeris consider it illegally occupied land that should be returned to their control.";N
EE;The Nagorno-Karabakh conflict is claiming more and more victims;"The AFP correspondent heard an air disturbance and a series of explosions in Stephanakert, which suffered severe damage, despite the recent ceasefire between Armenia and Azerbaijan.Some time later, however, an Armenian rocket attack destroyed several houses in Ganja, Azerbaijan 's second largest city, killing 12 people and injuring at least 40, according to the state prosecutor' s office.According to the prosecutor's office, 20 houses were affected, five were completely destroyed.AFP journalists in Ganja saw houses turned into rubble and people fleeing in tears, some of them in gowns and pajamas.Dozens of rescuers in red helmets tried to dig their way through the rubble to the survivors with their bare hands.The rockets hit the city early Saturday morning, while most residents were still asleep.Last weekend, a missile hit another residential area in Ganja, killing ten civilians.Another rocket hit Ganja on Saturday, but it crashed into the city's industrial area.Around the same time, the city of Mingecevir was attacked, but its missile was shot down by Azerbaijani air defense. The city is protected by an anti-missile system because it houses a strategically important dam.Armenia and Azerbaijan agreed on a ceasefire last Saturday after 11 hours of talks in Moscow, but since then the parties have incessantly accused each other of violating the agreement.Karabakh ombudsman Artak Beglarjan accused Twitter of continuing to attack civilian infrastructure in Azerbaijan and empty calls for peace by the international community.Earlier yesterday, the President of Azerbaijan Ilham Aliyev had announced the ""liberation"" of several villages.According to Artsrun Hovhannisyan, a spokesman for the Armenian Ministry of Defense, Azerbaijan has launched a large-scale offensive and heavy fighting has been going on all day.Nagorno-Karabakh, an Armenian enclave of Azerbaijan, escaped control of Baku during the 1990s war, which killed about 30,000 people.The fighting that broke out on September 27 is the worst since the 1990s war.";A
EE;Nagorno-Karabakh - not a conflict between Christians and Muslims, but a little bit nonetheless;In practice, the conflict between Armenia and Azerbaijan cannot be described as a religious war because it does not meet the basic criteria.For example, it would be expected that one of the parties would justify or attempt to justify its actions through religion. Secondly, in this case, the main feature of the conflict should be the fight for religious identity, in this case, however, the territory and ethno-politics are central. However, the conflict has had religious aspects throughout history.For example, the genocide in Armenia during the First World War can be viewed through the prism of religion. Although this may not have been one of the main reasons, it is difficult to overlook the fact that Christian Armenia was a lonely island on the Islamic eastern border of the Ottoman state. Given that the Armenian authorities call the current events the end of the Armenian genocide, history is a significant nuance to be relied on.The direct links between religion and the conflict in Nagorno-Karabakh became apparent in 1988, when both Vazgen I, the leader of the Armenian Church, and Allahshukur Pashazadeh, who held the title of Sheikh ul-Islam (Grand Mufti of the Caucasus) in Azerbaijan, took to the streets to support their people.At the same time, there was no desire to play too much of a role in the conflict at the time, and two religious leaders later met to confirm their distancing from the war. Neither side encouraged direct use of violence and hoped to avoid large-scale bloodshed.;N
EE;FORTE INTERVIEWS The Armenian and Azerbaijani View: Who Really Owns Nagorno-Karabakh?;The Karabakh conflict began in 1988, when the Nagorno-Karabakh region, the majority of whose population was Armenian, announced its withdrawal from Azerbaijan. In the war between Nagorno-Karabakh after 1992-1994, Azerbaijan lost control of Nagorno-Karabakh and the seven regions bordering the Armenian-Karabakh Republic.Negotiations have been held since 1992 to resolve the conflict by the OSCE Minsk Group, in which, in addition to Azerbaijan, Russia, the United States and France are acting as mediators. Negotiations between Azerbaijan and Armenia have been going on for three decades, to no avail. The Nagorno-Karabakh line of control is 1992-1994. The low-intensity combat operations continued until the end of the 2016 war, and before the 2020 war, the most serious battles were in April 2016.The Armenian view: we have received pogroms and killings in response to attempts at a peaceful solutionForte first asked Ruben Mehrabjan, an expert on international relations and security in Armenia and himself from Karabakh, about the development and history of the region.Why are Armenians convinced that Nagorno-Karabakh must belong to Armenia?All you have to do is go to Nagorno-Karabakh and see what churches there are. Everything is built there by the Armenians, there is nothing to talk about here. You need to see it with your own eyes and everything will be clear.Armenians suffered one of the most horrific crimes of the 20th century, the Armenian genocide. In the current war, the balance of power is very much to the detriment of Armenia. Is there a fear of a repeat of the events of 1915 in Armenia?It's not just fear, it's a fact. The current war is to drive the Armenians out of Nagorno-Karabakh. All this is being done by Azerbaijan on the pretext that these are Azerbaijani territories and that the Azeris are currently liberating their territories. It is also a fact that Armenians have already been expelled from the territory of the former USSR in the former Azerbaijan, except from Nagorno-Karabakh. This is due to the fact that the latter is under the protection of Armenian soldiers. The Nagorno-Karabakh conflict is different from all other post-Soviet conflicts in that it is a war for life and death.;E
